date,channel,region,campaign,impressions,clicks,spend,conversions,revenue,ctr,cpc,conv_rate,roas,cpa
2024-01-01,SEA,France,Brand Awareness Q1,19592,231,256.41,4,1231.06,1.18,1.11,2.12,4.8,64.1
2024-01-01,SEA,Germany,Product Launch Q2,60302,735,374.85,15,3910.6,1.22,0.51,2.16,10.43,24.99
2024-01-01,SEA,UK,Product Launch Q2,76426,3011,5058.48,71,25152.11,3.94,1.68,2.39,4.97,71.25
2024-01-01,SEA,Spain,Brand Awareness Q1,60392,2041,1449.11,118,19801.35,3.38,0.71,5.79,13.66,12.28
2024-01-01,SEA,Italy,Seasonal Promo Q4,54797,920,2760.0,36,11969.82,1.68,3.0,4.02,4.34,76.67
2024-01-01,Display,France,Retargeting Q3,75284,1407,4558.68,19,2899.64,1.87,3.24,1.39,0.64,239.93
2024-01-01,Display,Germany,Brand Awareness Q1,30203,1791,626.85,38,5748.86,5.93,0.35,2.14,9.17,16.5
2024-01-01,Display,UK,Product Launch Q2,35512,2510,3639.5,82,28038.97,7.07,1.45,3.27,7.7,44.38
2024-01-01,Display,Spain,Brand Awareness Q1,53520,1867,4499.47,84,24296.3,3.49,2.41,4.51,5.4,53.57
2024-01-01,Display,Italy,Product Launch Q2,27431,1300,1313.0,43,6212.71,4.74,1.01,3.31,4.73,30.53
2024-01-01,Social Ads,France,Retargeting Q3,47504,3277,9044.52,70,4286.46,6.9,2.76,2.15,0.47,129.21
2024-01-01,Social Ads,Germany,Retargeting Q3,57581,1652,1486.8,94,33532.49,2.87,0.9,5.71,22.55,15.82
2024-01-01,Social Ads,UK,Retargeting Q3,32869,1837,2773.87,102,21481.01,5.59,1.51,5.57,7.74,27.19
2024-01-01,Social Ads,Spain,Seasonal Promo Q4,23301,636,1303.8,14,3564.47,2.73,2.05,2.31,2.73,93.13
2024-01-01,Social Ads,Italy,Brand Awareness Q1,52447,1332,4648.68,47,3845.46,2.54,3.49,3.55,0.83,98.91
2024-01-01,Email,France,Seasonal Promo Q4,19371,400,292.0,17,4398.63,2.07,0.73,4.4,15.06,17.18
2024-01-01,Email,Germany,Brand Awareness Q1,55019,2844,4948.56,64,15592.26,5.17,1.74,2.26,3.15,77.32
