date,channel,sessions,bounce_rate_pct,pages_per_session,add_to_cart_rate_pct,checkout_rate_pct,conv_rate_pct,orders,avg_order_value,revenue,cart_abandonment_pct
2024-01-01,Organic Search,3509,42.1,4.5,9.6,4.4,1.95,68,289.23,19667.64,79.7
2024-01-01,Paid Search,4548,55.8,4.2,23.8,14.2,8.67,394,250.43,98669.42,63.6
2024-01-01,Email,1975,60.7,5.4,21.4,15.9,8.05,158,199.6,31536.8,62.4
2024-01-01,Social Media,1666,63.2,3.2,23.9,14.6,11.49,191,202.13,38606.83,51.9
2024-01-01,Direct,3498,26.9,4.3,13.5,7.4,6.41,224,72.07,16143.68,52.5
2024-01-02,Organic Search,4448,65.5,4.5,24.5,13.3,6.76,300,353.46,106038.0,72.4
2024-01-02,Paid Search,1517,58.6,3.7,23.5,11.1,7.23,109,103.97,11332.73,69.2
2024-01-02,Email,1099,26.0,3.9,21.4,9.3,5.7,62,73.82,4576.84,73.4
2024-01-02,Social Media,2737,52.8,3.4,7.7,4.3,3.65,99,371.23,36751.77,52.6
2024-01-02,Direct,5446,34.5,2.8,13.1,9.2,5.31,289,277.82,80289.98,59.5
2024-01-03,Organic Search,7754,27.5,5.2,19.4,13.8,6.56,508,360.31,183037.48,66.2
2024-01-03,Paid Search,1218,29.3,2.2,8.5,4.0,1.89,23,114.54,2634.42,77.8
2024-01-03,Email,4795,39.4,4.0,9.7,4.9,4.06,194,166.17,32236.98,58.1
2024-01-03,Social Media,5756,28.3,2.9,16.7,7.0,3.56,204,178.7,36454.8,78.7
2024-01-03,Direct,6936,61.6,3.4,21.3,13.1,6.43,445,57.59,25627.55,69.8
2024-01-04,Organic Search,3255,57.5,3.5,13.9,7.3,5.31,172,263.88,45387.36,61.8
2024-01-04,Paid Search,2744,29.8,4.9,11.3,8.0,6.05,166,283.39,47042.74,46.5
2024-01-04,Email,3342,38.3,5.3,6.6,3.8,3.35,111,130.83,14522.13,49.2
2024-01-04,Social Media,4321,38.2,4.9,11.4,6.7,3.11,134,345.16,46251.44,72.7
2024-01-04,Direct,3730,64.7,3.5,18.2,11.7,6.33,236,272.21,64241.56,65.2
2024-01-05,Organic Search,5150,63.8,4.6,19.3,9.2,5.23,269,111.22,29918.18,72.9
2024-01-05,Paid Search,235,55.0,5.0,24.3,11.6,8.5,19,102.51,1947.69,65.0
2024-01-05,Email,5443,36.7,3.6,20.1,13.7,8.28,450,333.69,150160.5,58.8
2024-01-05,Social Media,5578,43.0,2.1,15.6,6.2,3.44,191,270.22,51612.02,77.9
2024-01-05,Direct,6323,69.6,4.1,21.1,16.3,8.67,548,330.24,180971.52,58.9
2024-01-06,Organic Search,3614,46.1,4.2,17.4,11.4,8.92,322,302.59,97433.98,48.7
2024-01-06,Paid Search,1840,58.3,6.5,21.1,9.1,3.79,69,64.53,4452.57,82.0
2024-01-06,Email,2655,41.6,4.3,24.0,15.2,8.32,220,298.48,65665.6,65.3
2024-01-06,Social Media,7275,60.7,3.5,8.4,4.9,2.27,165,88.77,14647.05,73.0
2024-01-06,Direct,3858,64.1,5.0,12.8,8.0,6.06,233,165.55,38573.15,52.7
2024-01-07,Organic Search,1900,37.3,4.4,22.8,12.6,10.25,194,358.88,69622.72,55.0
2024-01-07,Paid Search,4125,50.8,4.6,23.3,15.5,13.8,569,223.11,126949.59,40.8
2024-01-07,Email,3967,48.5,2.1,20.9,9.0,6.55,259,46.32,11996.88,68.7
2024-01-07,Social Media,5775,49.0,4.7,16.7,9.4,4.54,262,242.03,63411.86,72.8
2024-01-07,Direct,589,42.9,1.7,15.2,9.5,5.19,30,325.67,9770.1,65.9
2024-01-08,Organic Search,671,56.3,3.6,21.1,9.4,4.57,30,137.29,4118.7,78.3
2024-01-08,Paid Search,3191,28.2,6.1,20.5,9.6,5.54,176,366.59,64519.84,73.0
2024-01-08,Email,4582,28.7,4.9,19.5,14.2,6.75,309,73.98,22859.82,65.4
2024-01-08,Social Media,6419,48.1,3.4,12.1,8.6,4.44,285,248.77,70899.45,63.3
2024-01-08,Direct,5206,32.2,5.4,22.9,16.6,10.26,534,148.0,79032.0,55.2
2024-01-09,Organic Search,6252,30.0,4.0,24.3,16.8,6.83,427,171.24,73119.48,71.9
2024-01-09,Paid Search,5787,60.7,5.4,24.8,15.5,11.88,687,246.82,169565.34,52.1
2024-01-09,Email,7493,28.6,5.6,22.5,16.5,12.99,973,169.99,165400.27,42.3
2024-01-09,Social Media,2767,51.5,4.4,5.4,4.2,1.96,54,48.78,2634.12,63.7
